effect_id,effect_name,item_name,bp_price_ref,bp_price_keys,slot,summary,defindex,usd_price,key_low,key_high,key_mid,item_type,has_price
74,Spellbound,Das Übersternmann,283239.0,4950 keys,misc,Level 1-100 Hat,30097,8638.79,4950.0,4950.0,4950.0,cosmetic,True
74,Spellbound,Prehistoric Pullover,247476.5,4325 keys,misc,Level 1-100 Hood,30704,7548.03,4325.0,4325.0,4325.0,cosmetic,True
74,Spellbound,Chill Chullo,244329.4,4270 keys,misc,Level 1-100 Hat,30748,7452.05,4270.0,4270.0,4270.0,cosmetic,True
74,Spellbound,Outta Sight,237463.0,4150 keys,misc,Level 1-100 Hat,30628,7242.62,4150.0,4150.0,4150.0,cosmetic,True
74,Spellbound,Burning Bandana,226019.0,3950 keys,misc,Level 1-100 Bandana,30091,6893.58,3950.0,3950.0,3950.0,cosmetic,True
74,Spellbound,Familiar Fez,220297.0,3850 keys,misc,Level 1-100 Hat,223,6719.06,3850.0,3850.0,3850.0,cosmetic,True
74,Spellbound,Backwards Ballcap,210283.5,3675 keys,misc,Level 10 Hat,617,6413.65,3675.0,3675.0,3675.0,cosmetic,True
74,Spellbound,Tough Stuff Muffs,204561.5,3100–4050 keys,misc,Level 1-100 Hat,984,6239.13,3100.0,4050.0,3575.0,cosmetic,True
74,Spellbound,Killer Exclusive,188826.0,3300 keys,misc,Level 10 Hat,538,5759.19,3300.0,3300.0,3300.0,cosmetic,True
74,Spellbound,Cosa Nostra Cap,183104.0,3200 keys,misc,Level 1-100 Hat,459,5584.67,3200.0,3200.0,3200.0,cosmetic,True
74,Spellbound,Honcho's Headgear,180243.0,3150 keys,misc,Level 1-100 Hat,391,5497.41,3150.0,3150.0,3150.0,cosmetic,True
74,Spellbound,Shooter's Sola Topi,143050.0,2500 keys,misc,Level 1-100 Helmet,158,4363.02,2500.0,2500.0,2500.0,cosmetic,True
74,Spellbound,Your Worst Nightmare,128745.0,1800–2700 keys,misc,Level 10 Hair,600,3926.72,1800.0,2700.0,2250.0,cosmetic,True
74,Spellbound,Head Warmer,125884.0,2200 keys,misc,Level 1-100 Hat,644,3839.46,2200.0,2200.0,2200.0,cosmetic,True
74,Spellbound,Glengarry Bonnet,123023.0,2150 keys,misc,Level 1-100 Hat,100,3752.2,2150.0,2150.0,2150.0,cosmetic,True
74,Spellbound,Hustler's Hallmark,117301.0,2050 keys,misc,Level 1-100 Hat,146,3577.68,2050.0,2050.0,2050.0,cosmetic,True
74,Spellbound,A Rather Festive Tree,114440.0,2000 keys,misc,Level 1-100 Hat,341,3490.42,2000.0,2000.0,2000.0,cosmetic,True
74,Spellbound,Galvanized Gibus,114440.0,2000 keys,misc,Level 1-100 Hat,30003,3490.42,2000.0,2000.0,2000.0,cosmetic,True
74,Spellbound,Horrific Headsplitter,114440.0,2000 keys,misc,Level 31 Hat,291,3490.42,2000.0,2000.0,2000.0,cosmetic,True
74,Spellbound,Sergeant's Drill Hat,114440.0,1800–2200 keys,misc,Level 1-100 Hat,183,3490.42,1800.0,2200.0,2000.0,cosmetic,True
74,Spellbound,Swagman's Swatter,114440.0,2000 keys,misc,Level 10 Hat,626,3490.42,2000.0,2000.0,2000.0,cosmetic,True
74,Spellbound,Greased Lightning,108718.0,1900 keys,misc,Level 1-100 Hair,30078,3315.9,1900.0,1900.0,1900.0,cosmetic,True
74,Spellbound,Milkman,108718.0,1900 keys,misc,Level 1-100 Hat,219,3315.9,1900.0,1900.0,1900.0,cosmetic,True
74,Spellbound,Towering Pillar of Hats,108718.0,1900 keys,misc,Level 1-100 Hat,135,3315.9,1900.0,1900.0,1900.0,cosmetic,True
74,Spellbound,Wet Works,108718.0,1900 keys,misc,Level 1-100 Hat,30135,3315.9,1900.0,1900.0,1900.0,cosmetic,True
74,Spellbound,Reggaelator,102996.0,1800 keys,misc,Level 1-100 Hat,390,3141.38,1800.0,1800.0,1800.0,cosmetic,True
74,Spellbound,Nuke,100135.0,1750 keys,misc,Level 1-100 Hair,30885,3054.12,1750.0,1750.0,1750.0,cosmetic,True
74,Spellbound,Platinum Pickelhaube,100135.0,1750 keys,misc,Level 1-100 Helmet,30042,3054.12,1750.0,1750.0,1750.0,cosmetic,True
74,Spellbound,Détective Noir,98704.5,1725 keys,misc,Level 1-100 Hat,319,3010.49,1725.0,1725.0,1725.0,cosmetic,True
74,Spellbound,Stout Shako,95843.5,1400–1950 keys,misc,Level 1-100 Hat,251,2923.23,1400.0,1950.0,1675.0,cosmetic,True
74,Spellbound,Front Runner,94413.0,1650 keys,misc,Level 1-100 Hat,760,2879.6,1650.0,1650.0,1650.0,cosmetic,True
74,Spellbound,Full Metal Drill Hat,94413.0,1650 keys,misc,Level 1-100 Hat,30026,2879.6,1650.0,1650.0,1650.0,cosmetic,True
74,Spellbound,Shellmet,94413.0,1650 keys,misc,Level 1-100 Helmet,30897,2879.6,1650.0,1650.0,1650.0,cosmetic,True
74,Spellbound,Modest Metal Pile of Scrap,88691.0,1300–1800 keys,misc,Level 1-100 Hat,30001,2705.08,1300.0,1800.0,1550.0,cosmetic,True
74,Spellbound,Das Naggenvatcher,86974.4,1520 keys,misc,Level 1-100 Hat,30109,2652.72,1520.0,1520.0,1520.0,cosmetic,True
74,Spellbound,Baron von Havenaplane,85830.0,1500 keys,misc,Level 1-100 Hat,30136,2617.82,1500.0,1500.0,1500.0,cosmetic,True
74,Spellbound,Doctor's Sack,85830.0,1500 keys,misc,Level 1-100 Hat,398,2617.82,1500.0,1500.0,1500.0,cosmetic,True
74,Spellbound,Modest Pile of Hat,85830.0,1500 keys,misc,Level 1-100 Hat,139,2617.82,1500.0,1500.0,1500.0,cosmetic,True
74,Spellbound,Triboniophorus Tyrannus,85830.0,1500 keys,misc,Level 1-100 Mascot,151,2617.82,1500.0,1500.0,1500.0,cosmetic,True
74,Spellbound,Cotton Head,82969.0,1450 keys,misc,Level 1-100 Hat,30175,2530.55,1450.0,1450.0,1450.0,cosmetic,True
74,Spellbound,Prince Tavish's Crown,80108.0,1400 keys,misc,Level 1-100 Hat,342,2443.29,1400.0,1400.0,1400.0,cosmetic,True
74,Spellbound,Brown Bomber,77247.0,1300–1400 keys,misc,Level 1-100 Hat,671,2356.03,1300.0,1400.0,1350.0,cosmetic,True
74,Spellbound,Harmburg,77247.0,1350 keys,misc,Level 1-100 Hat,30123,2356.03,1350.0,1350.0,1350.0,cosmetic,True
74,Spellbound,Whoopee Cap,77247.0,1350 keys,misc,Level 1-100 Hat,174,2356.03,1350.0,1350.0,1350.0,cosmetic,True
74,Spellbound,Ol' Geezer,74386.0,1300 keys,misc,Level 1-100 Hat,399,2268.77,1300.0,1300.0,1300.0,cosmetic,True
74,Spellbound,Strontium Stove Pipe,74386.0,1300 keys,misc,Level 1-100 Hat,30037,2268.77,1300.0,1300.0,1300.0,cosmetic,True
74,Spellbound,Ye Oiled Baker Boy,74386.0,1300 keys,misc,Level 1-100 Hat,30019,2268.77,1300.0,1300.0,1300.0,cosmetic,True
74,Spellbound,Das Maddendoktor,71525.0,1250 keys,misc,Level 1-100 Hair,30121,2181.51,1250.0,1250.0,1250.0,cosmetic,True
74,Spellbound,Tartan Spartan,70952.8,1240 keys,misc,Level 1-100 Helmet,30106,2164.06,1240.0,1240.0,1240.0,cosmetic,True
74,Spellbound,Data Mining Light,68664.0,1200 keys,misc,Level 1-100 Helmet,30051,2094.25,1200.0,1200.0,1200.0,cosmetic,True
74,Spellbound,FR-0,68664.0,1200 keys,misc,Level 1-100 Hat,30016,2094.25,1200.0,1200.0,1200.0,cosmetic,True
74,Spellbound,Jumper's Jeepcap,68664.0,1200 keys,misc,Level 1-100 Hat,417,2094.25,1200.0,1200.0,1200.0,cosmetic,True
74,Spellbound,Madame Dixie,68664.0,1200 keys,misc,Level 1-100 Hat,321,2094.25,1200.0,1200.0,1200.0,cosmetic,True
74,Spellbound,Barnstormer,65803.0,1150 keys,misc,Level 1-100 Hat,988,2006.99,1150.0,1150.0,1150.0,cosmetic,True
74,Spellbound,Dragonborn Helmet,62942.0,1100 keys,misc,Level 10 Helmet,517,1919.73,1100.0,1100.0,1100.0,cosmetic,True
74,Spellbound,L'homme Burglerre,62942.0,1100 keys,misc,Level 1-100 Hat,30182,1919.73,1100.0,1100.0,1100.0,cosmetic,True
74,Spellbound,Prancer's Pride,62942.0,1100 keys,misc,Level 1-100 Hat,318,1919.73,1100.0,1100.0,1100.0,cosmetic,True
74,Spellbound,Respectless Rubber Glove,62942.0,1100 keys,misc,Level 1-100 Hat,102,1919.73,1100.0,1100.0,1100.0,cosmetic,True
74,Spellbound,Tartan Tyrolean,62942.0,1100 keys,misc,Level 1-100 Hat,30334,1919.73,1100.0,1100.0,1100.0,cosmetic,True
74,Spellbound,Cold Killer,58364.4,1020 keys,misc,Level 1-100 Hat,981,1780.11,1020.0,1020.0,1020.0,cosmetic,True
74,Spellbound,Law,57849.42,1011 keys,misc,Level 1-100 Hat,30362,1764.41,1011.0,1011.0,1011.0,cosmetic,True
74,Spellbound,Blast Defense,57220.0,1000 keys,misc,Level 1-100 Headgear,30863,1745.21,1000.0,1000.0,1000.0,cosmetic,True
74,Spellbound,Bone Dome,57220.0,1000 keys,misc,Level 1-100 Helmet,30162,1745.21,1000.0,1000.0,1000.0,cosmetic,True
74,Spellbound,Hermes,57220.0,1000 keys,misc,Level 10 Hat,633,1745.21,1000.0,1000.0,1000.0,cosmetic,True
74,Spellbound,Scotch Bonnet,57220.0,1000 keys,misc,Level 1-100 Headgear,306,1745.21,1000.0,1000.0,1000.0,cosmetic,True
74,Spellbound,Gentleman's Gatsby,54359.0,950 keys,misc,Level 1-100 Hat,184,1657.95,950.0,950.0,950.0,cosmetic,True
74,Spellbound,Tavish DeGroot Experience,53786.8,940 keys,misc,Level 10 Hat,604,1640.5,940.0,940.0,940.0,cosmetic,True
74,Spellbound,Executioner,53214.6,860–1000 keys,misc,Level 1-100 Hat,921,1623.05,860.0,1000.0,930.0,cosmetic,True
74,Spellbound,Letch's LED,52642.4,920 keys,misc,Level 1-100 Hat,30002,1605.59,920.0,920.0,920.0,cosmetic,True
74,Spellbound,Blighted Beak,51498.0,900 keys,misc,Level 1-100 Mask,315,1570.69,900.0,900.0,900.0,cosmetic,True
74,Spellbound,Halogen Head Lamp,51498.0,900 keys,misc,Level 1-100 Hat,30041,1570.69,900.0,900.0,900.0,cosmetic,True
74,Spellbound,Belgian Detective,48637.0,850 keys,misc,Level 1-100 Hat,30128,1483.43,850.0,850.0,850.0,cosmetic,True
74,Spellbound,Bonk Leadwear,48637.0,850 keys,misc,Level 1-100 Helmet,30030,1483.43,850.0,850.0,850.0,cosmetic,True
74,Spellbound,L'Inspecteur,48637.0,850 keys,misc,Level 10 Hat,622,1483.43,850.0,850.0,850.0,cosmetic,True
74,Spellbound,Tippler's Tricorne,48637.0,850 keys,misc,Level 1-100 Hat,179,1483.43,850.0,850.0,850.0,cosmetic,True
74,Spellbound,Medic's Mountain Cap,47492.6,830 keys,misc,Level 1-100 Hat,381,1448.52,830.0,830.0,830.0,cosmetic,True
74,Spellbound,Katyusha,46920.4,820 keys,misc,Level 1-100 Hat,30094,1431.07,820.0,820.0,820.0,cosmetic,True
74,Spellbound,One-Man Army,46348.2,810 keys,misc,Level 10 Hair,601,1413.62,810.0,810.0,810.0,cosmetic,True
74,Spellbound,Birdcage,45776.0,800 keys,misc,Level 10 Hat,615,1396.17,800.0,800.0,800.0,cosmetic,True
74,Spellbound,Hard Counter,45776.0,800 keys,misc,Level 1-100 Hat,254,1396.17,800.0,800.0,800.0,cosmetic,True
74,Spellbound,Pampered Pyro,45776.0,800 keys,misc,Level 1-100 Towel,30139,1396.17,800.0,800.0,800.0,cosmetic,True
74,Spellbound,Stately Steel Toe,45203.8,790 keys,misc,Level 1-100 Hat,481,1378.72,790.0,790.0,790.0,cosmetic,True
74,Spellbound,Hound Dog,43658.86,763 keys,misc,Level 1-100 Hair,145,1331.6,763.0,763.0,763.0,cosmetic,True
74,Spellbound,Conquistador,43487.2,760 keys,misc,Level 1-100 Helmet,721,1326.36,760.0,760.0,760.0,cosmetic,True
74,Spellbound,Hottie's Hoodie,43487.2,760 keys,misc,Level 1-100 Hood,377,1326.36,760.0,760.0,760.0,cosmetic,True
74,Spellbound,Gridiron Guardian,42915.0,750 keys,misc,Level 1-100 Helmet,30013,1308.91,750.0,750.0,750.0,cosmetic,True
74,Spellbound,Nanobalaclava,42628.9,640–850 keys,misc,Level 10 Hat,521,1300.18,640.0,850.0,745.0,cosmetic,True
74,Spellbound,Fruit Shoot,40054.0,700 keys,misc,Level 1-100 Hat,759,1221.65,700.0,700.0,700.0,cosmetic,True
74,Spellbound,Wraith Wrap,39767.9,695 keys,misc,Level 1-100 Apparel,937,1212.92,695.0,695.0,695.0,cosmetic,True
74,Spellbound,Pirate Bandana,38623.5,675 keys,misc,Level 1-100 Hat,30180,1178.02,675.0,675.0,675.0,cosmetic,True
74,Spellbound,Magnificent Mongolian,37765.2,660 keys,misc,Level 1-100 Hat,313,1151.84,660.0,660.0,660.0,cosmetic,True
74,Spellbound,Slick Cut,37193.0,650 keys,misc,Level 1-100 Hair,30187,1134.39,650.0,650.0,650.0,cosmetic,True
74,Spellbound,Copper's Hard Top,37135.78,649 keys,misc,Level 1-100 Helmet,478,1132.64,649.0,649.0,649.0,cosmetic,True
74,Spellbound,Carouser's Capotain,34332.0,600 keys,misc,Level 1-100 Hat,259,1047.13,600.0,600.0,600.0,cosmetic,True
74,Spellbound,Dr's Dapper Topper,34332.0,600 keys,misc,Level 1-100 Hat,252,1047.13,600.0,600.0,600.0,cosmetic,True
74,Spellbound,Flamboyant Flamenco,34332.0,600 keys,misc,Level 10 Hat,627,1047.13,600.0,600.0,600.0,cosmetic,True
74,Spellbound,Shooter's Tin Topi,34045.9,595 keys,misc,Level 1-100 Hat,30005,1038.4,595.0,595.0,595.0,cosmetic,True
74,Spellbound,Furious Fukaamigasa,31471.0,550 keys,misc,Level 1-100 Hat,395,959.87,550.0,550.0,550.0,cosmetic,True
74,Spellbound,Janissary Ketche,31471.0,550 keys,misc,Level 1-100 Hat,437,959.87,550.0,550.0,550.0,cosmetic,True
74,Spellbound,Anger,31184.9,545 keys,misc,Level 10 Hood,518,951.14,545.0,545.0,545.0,cosmetic,True
74,Spellbound,Hot Dogger,30898.8,540 keys,misc,Level 10 Hat,614,942.41,540.0,540.0,540.0,cosmetic,True
74,Spellbound,Pugilist's Protector,30612.7,535 keys,misc,Level 1-100 Headgear,246,933.69,535.0,535.0,535.0,cosmetic,True
74,Spellbound,Das Gutenkutteharen,28610.0,500 keys,misc,Level 1-100 Hair,30127,872.61,500.0,500.0,500.0,cosmetic,True
74,Spellbound,Feathered Fiend,28610.0,500 keys,misc,Level 1-100 Headgear,30903,872.61,500.0,500.0,500.0,cosmetic,True
74,Spellbound,Brim-Full of Bullets,27465.6,480 keys,misc,Level 1-100 Hat,30173,837.7,480.0,480.0,480.0,cosmetic,True
74,Spellbound,Bot Dogger,26321.2,460 keys,misc,Level 1-100 Hat,30018,802.8,460.0,460.0,460.0,cosmetic,True
74,Spellbound,Bombing Run,25176.8,440 keys,misc,Level 1-100 Helmet,249,767.89,440.0,440.0,440.0,cosmetic,True
74,Spellbound,Electric Escorter,24604.6,430 keys,misc,Level 1-100 Hat,30025,750.44,430.0,430.0,430.0,cosmetic,True
74,Spellbound,Kiss King,24604.6,430 keys,misc,Level 1-100 Hat,30313,750.44,430.0,430.0,430.0,cosmetic,True
74,Spellbound,Bunsen Brave,22888.0,400 keys,misc,Level 1-100 Hat,30054,698.08,400.0,400.0,400.0,cosmetic,True
74,Spellbound,Master's Yellow Belt,22888.0,400 keys,misc,Level 1-100 Hat,110,698.08,400.0,400.0,400.0,cosmetic,True
74,Spellbound,Powdered Practitioner,22029.7,385 keys,misc,Level 1-100 Hat,30069,671.91,385.0,385.0,385.0,cosmetic,True
74,Spellbound,Berliner's Bucket Helm,20027.0,350 keys,misc,Level 1-100 Helmet,303,610.82,350.0,350.0,350.0,cosmetic,True
74,Spellbound,Bootleg Base Metal Billycock,18882.6,330 keys,misc,Level 1-100 Hat,30047,575.92,330.0,330.0,330.0,cosmetic,True
74,Spellbound,Ol' Snaggletooth,17537.93,267–346 keys,misc,Level 1-100 Hat,229,534.91,267.0,346.0,306.5,cosmetic,True
74,Spellbound,Berlin Brain Bowl,17166.0,300 keys,misc,Level 1-100 Headgear,30755,523.56,300.0,300.0,300.0,cosmetic,True
74,Spellbound,Charmer's Chapeau,17166.0,300 keys,misc,Level 1-100 Hat,397,523.56,300.0,300.0,300.0,cosmetic,True
74,Spellbound,Field Practice,17166.0,300 keys,misc,Level 1-100 Headgear,30862,523.56,300.0,300.0,300.0,cosmetic,True
74,Spellbound,Gentleman's Ushanka,17166.0,300 keys,misc,Level 1-100 Hat,778,523.56,300.0,300.0,300.0,cosmetic,True
74,Spellbound,Defiant Spartan,16593.8,290 keys,misc,Level 1-100 Helmet,340,506.11,290.0,290.0,290.0,cosmetic,True
74,Spellbound,El Jefe,16450.75,275–300 keys,misc,Level 10 Hat,539,501.75,275.0,300.0,287.5,cosmetic,True
74,Spellbound,Bear Necessities,16021.6,280 keys,misc,Level 1-100 Spirit Animal,30122,488.66,280.0,280.0,280.0,cosmetic,True
74,Spellbound,Rotation Sensation,16021.6,280 keys,misc,Level 1-100 Hat,30623,488.66,280.0,280.0,280.0,cosmetic,True
74,Spellbound,Valley Forge,15964.38,279 keys,misc,Level 1-100 Hat,30114,486.91,279.0,279.0,279.0,cosmetic,True
74,Spellbound,Human Cannonball,15449.4,270 keys,misc,Level 1-100 Helmet,817,471.21,270.0,270.0,270.0,cosmetic,True
74,Spellbound,Black Watch,13732.8,240 keys,misc,Level 1-100 Hat,30105,418.85,240.0,240.0,240.0,cosmetic,True
74,Spellbound,Killer's Kabuto,13618.36,238 keys,misc,Level 1-100 Helmet,152,415.36,238.0,238.0,238.0,cosmetic,True
74,Spellbound,Hive Minder,13446.7,235 keys,misc,Level 1-100 Hat,30093,410.12,235.0,235.0,235.0,cosmetic,True
74,Spellbound,Conjurer's Cowl,13389.48,234 keys,misc,Level 1-100 Hood,465,408.38,234.0,234.0,234.0,cosmetic,True
74,Spellbound,Bolted Birdcage,13160.6,230 keys,misc,Level 1-100 Hat,30057,401.4,230.0,230.0,230.0,cosmetic,True
74,Spellbound,Texas Tin-Gallon,12588.4,220 keys,misc,Level 1-100 Hat,30044,383.95,220.0,220.0,220.0,cosmetic,True
74,Spellbound,Classy Capper,12302.3,215 keys,misc,Level 1-100 Hat,30893,375.22,215.0,215.0,215.0,cosmetic,True
74,Spellbound,Tyrantium Helmet,12302.3,200–230 keys,misc,Level 1-100 Helmet,30014,375.22,200.0,230.0,215.0,cosmetic,True
74,Spellbound,Smokey Sombrero,11444.0,200 keys,misc,Level 1-100 Hat,30682,349.04,200.0,200.0,200.0,cosmetic,True
74,Spellbound,Noble Nickel Amassment of Hats,10013.5,175 keys,misc,Level 1-100 Hat,30006,305.41,175.0,175.0,175.0,cosmetic,True
74,Spellbound,Tyrant's Helm,9612.96,168 keys,misc,Level 1-100 Helmet,99,293.2,168.0,168.0,168.0,cosmetic,True
74,Spellbound,Tungsten Toque,9441.3,165 keys,misc,Level 1-100 Hat,30049,287.96,165.0,165.0,165.0,cosmetic,True
74,Spellbound,Ye Olde Baker Boy,9441.3,160–170 keys,misc,Level 1-100 Hat,107,287.96,160.0,170.0,165.0,cosmetic,True
74,Spellbound,Frenchman's Beret,8583.0,150 keys,misc,Level 1-100 Hat,180,261.78,150.0,150.0,150.0,cosmetic,True
74,Spellbound,Geisha Boy,8583.0,150 keys,misc,Level 1-100 Hair,363,261.78,150.0,150.0,150.0,cosmetic,True
74,Spellbound,Voodoo JuJu (Slight Return),8010.8,140 keys,misc,Level 1-100 Hat,935,244.33,140.0,140.0,140.0,cosmetic,True
74,Spellbound,Soldier's Slope Scopers,7696.09,125–144 keys,misc,Level 1-100 Hat,980,234.73,125.0,144.0,134.5,cosmetic,True
74,Spellbound,Firewall Helmet,7438.6,130 keys,misc,Level 1-100 Helmet,30038,226.88,130.0,130.0,130.0,cosmetic,True
74,Spellbound,Lord Cockswain's Pith Helmet,7324.16,128 keys,misc,Level 1-100 Headgear,439,223.39,128.0,128.0,128.0,cosmetic,True
74,Spellbound,Pom-Pommed Provocateur,7209.72,108–144 keys,misc,Level 1-100 Mask,30072,219.9,108.0,144.0,126.0,cosmetic,True
74,Spellbound,Attendant,6980.84,122 keys,misc,Level 1-100 Hat,213,212.92,122.0,122.0,122.0,cosmetic,True
74,Spellbound,Cyborg Stunt Helmet,6923.62,121 keys,misc,Level 1-100 Helmet,30024,211.17,121.0,121.0,121.0,cosmetic,True
74,Spellbound,Engineer's Cap,6866.4,120 keys,misc,Level 1-100 Hat,95,209.43,120.0,120.0,120.0,cosmetic,True
74,Spellbound,Glasgow Great Helm,6866.4,120 keys,misc,Level 1-100 Helmet,30082,209.43,120.0,120.0,120.0,cosmetic,True
74,Spellbound,Private Eye,6866.4,120 keys,misc,Level 1-100 Hat,388,209.43,120.0,120.0,120.0,cosmetic,True
74,Spellbound,Respectless Robo-Glove,6694.74,117 keys,misc,Level 1-100 Hat,30039,204.19,117.0,117.0,117.0,cosmetic,True
74,Spellbound,Handyman's Handle,6380.03,100–123 keys,misc,Level 1-100 Hat,253,194.59,100.0,123.0,111.5,cosmetic,True
74,Spellbound,Bullet Buzz,5722.0,100 keys,misc,Level 1-100 Hair,30344,174.52,100.0,100.0,100.0,cosmetic,True
74,Spellbound,Buccaneer's Bicorne,5435.9,95 keys,misc,Level 10 Hat,607,165.79,95.0,95.0,95.0,cosmetic,True
74,Spellbound,Officer's Ushanka,5435.9,95 keys,misc,Level 1-100 Hat,96,165.79,95.0,95.0,95.0,cosmetic,True
74,Spellbound,Battle Boonie,4863.7,85 keys,misc,Level 1-100 Hat,30907,148.34,85.0,85.0,85.0,cosmetic,True
74,Spellbound,Stainless Pot,4577.6,80 keys,misc,Level 1-100 Hat,98,139.62,80.0,80.0,80.0,cosmetic,True
74,Spellbound,Otolaryngologist's Mirror,4520.38,79 keys,misc,Level 1-100 Hat,104,137.87,79.0,79.0,79.0,cosmetic,True
74,Spellbound,Pardner's Pompadour,4405.94,77 keys,misc,Level 1-100 Hair,30099,134.38,77.0,77.0,77.0,cosmetic,True
74,Spellbound,Liquidator's Lid,3719.3,63–67 keys,misc,Level 1-100 Hat,779,113.44,63.0,67.0,65.0,cosmetic,True
74,Spellbound,Virus Doctor,3719.3,65 keys,misc,Level 1-100 Hat,30043,113.44,65.0,65.0,65.0,cosmetic,True
74,Spellbound,Sober Stuntman,3547.64,58–66 keys,misc,Level 1-100 Helmet,255,108.2,58.0,66.0,62.0,cosmetic,True
74,Spellbound,Plumber's Pipe,3118.49,50–59 keys,misc,Level 1-100 Hat,30022,95.11,50.0,59.0,54.5,cosmetic,True
74,Spellbound,Timeless Topper,2546.29,43–46 keys,misc,Level 1-100 Hat,30035,77.66,43.0,46.0,44.5,cosmetic,True
74,Spellbound,Plug-In Prospector,2517.68,41–47 keys,misc,Level 1-100 Hat,30031,76.79,41.0,47.0,44.0,cosmetic,True
74,Spellbound,Cranial Carcharodon,,,misc,Level 1-100 Hat,30800,,,,,cosmetic,False
76,Poisoned Shadows,Antlers,1018516.0,17800 keys,misc,Level 1-100 Cosmetic Item,993,31064.74,17800.0,17800.0,17800.0,cosmetic,True
76,Poisoned Shadows,Whirly Warrior,489231.0,8550 keys,misc,Level 1-100 Helmet,30118,14921.55,8550.0,8550.0,8550.0,cosmetic,True
76,Poisoned Shadows,Blighted Beak,444599.4,7770 keys,misc,Level 1-100 Mask,315,13560.28,7770.0,7770.0,7770.0,cosmetic,True
76,Poisoned Shadows,Patriot Peak,434872.0,7600 keys,misc,Level 1-100 Hat,30743,13263.6,7600.0,7600.0,7600.0,cosmetic,True
76,Poisoned Shadows,Hong Kong Cone,383374.0,6700 keys,misc,Level 1-100 Hat,30177,11692.91,6700.0,6700.0,6700.0,cosmetic,True
76,Poisoned Shadows,Pyromancer's Mask,360486.0,6300 keys,misc,Level 1-100 Mask,316,10994.82,6300.0,6300.0,6300.0,cosmetic,True
76,Poisoned Shadows,Brotherhood of Arms,297544.0,5200 keys,misc,Level 1-100 Hat,30066,9075.09,5200.0,5200.0,5200.0,cosmetic,True
76,Poisoned Shadows,Hustler's Hallmark,281808.5,4925 keys,misc,Level 1-100 Hat,146,8595.16,4925.0,4925.0,4925.0,cosmetic,True
76,Poisoned Shadows,Salty Dog,274656.0,4800 keys,misc,Level 10 Hat,611,8377.01,4800.0,4800.0,4800.0,cosmetic,True
76,Poisoned Shadows,Cold Killer,228880.0,4000 keys,misc,Level 1-100 Hat,981,6980.84,4000.0,4000.0,4000.0,cosmetic,True
76,Poisoned Shadows,Large Luchador,228880.0,4000 keys,misc,Level 1-100 Mask,380,6980.84,4000.0,4000.0,4000.0,cosmetic,True
76,Poisoned Shadows,Tyrant's Helm,200270.0,3500 keys,misc,Level 1-100 Helmet,99,6108.23,3500.0,3500.0,3500.0,cosmetic,True
