effect_name,unusuals,average_change,median_change,average_listing_change,increases,decreases,new,removed
Condescending Embrace,41,-0.14855503027391337,-0.10067365687984875,0.0,0,41,0,0
Confetti Celebration,14,-0.017532497120011703,-0.012584207109980206,0.0,0,14,0,0
Contagious Eruption,10,-0.2667851907315882,-0.10319049830184213,0.0,0,10,0,0
Convulsive Fiery,32,-0.033564439901150406,-0.025168414219962187,0.0,0,32,0,0
Cosmic Constellations,80,-0.448973049166322,-0.24539203864461712,0.0,0,80,0,0
Creepy Crawlies,33,-0.01953030809508007,-0.013842627820976894,0.0,0,33,0,0
Cremation,50,-0.027848850334386714,-0.021393152086966793,0.0,0,50,0,0
Crustacean Sensation,8,-0.08226925398149709,-0.05788735270591161,0.0,0,8,0,0
Cryogenic,44,-0.20572361911793793,-0.1510104853197589,0.0,1,43,0,0
Crystal Crown,50,-0.3461412007671159,-0.20763941731467384,0.0,0,50,0,0
Cuban Smoke,87,-0.349421484087115,-0.1761788995397211,0.0,0,87,0,0
Current Conductor,41,-0.10523159530870166,-0.07550524265987946,0.0,0,41,0,0
Cursed Confinement,50,-0.019640172036546142,-0.014471838176477014,0.0,0,50,0,0
Cursed Forever!,63,-0.3490696675442609,-0.24727966971111925,0.0,0,62,1,0
Dark Twilight,82,-0.14011440355380464,-0.0855726083478654,0.0,0,82,0,0
Darkblaze,163,-3.7715486338407653,-2.051225758926762,0.0,0,163,0,0
Daydream Eruption,9,-0.2996439537409792,-0.0704715598158927,0.0,0,9,0,0
Dazzling Constellations,47,-0.3966702730518152,-0.22651572797964548,0.0,0,47,0,0
Dazzling Fireworks,7,-0.4343349196816152,-0.27685255641956985,0.0,0,7,0,0
Dead Man's Party,57,-0.024942119267544433,-0.017617889953973176,0.0,0,57,0,0
Dead Presidents,464,-0.08744261067595474,-0.03397735919694611,0.0,0,464,0,0
Death Grip,43,-0.022964714695817345,-0.018876310664969864,0.0,0,43,0,0
Death at Dusk,283,-0.6140031247719129,-0.3775262132994044,0.0,1,282,0,0
Death by Disco,7,-0.8600406687735074,-0.8053892550387332,0.0,0,7,0,0
Death's Daggers,78,-0.6746425698858142,-0.3901104204093997,0.0,0,78,0,0
Decimating Wind,57,-0.12798359406413382,-0.06040419412790499,0.0,0,57,0,0
Deep-Sea Devourer,10,-0.017630474161082522,-0.013528022643229498,0.0,0,10,0,0
Deepsea Rave,50,-0.017191285332944114,-0.013842627820976894,0.0,0,50,0,0
Defragmenting Reality,34,-0.11662599001043497,-0.08808944976986055,0.0,0,34,0,0
Delightful Doves,27,-0.18997491918622067,-0.12332522967781046,0.0,0,27,0,0
Delightful Star,40,-0.03242635567064182,-0.026426834930957988,0.0,0,40,0,0
Demonflame,176,-2.1367420797584105,-1.3779706785428232,0.0,0,176,0,0
Demonic Impaler,33,-0.22704960343279246,-0.1635946924297471,0.0,0,33,0,0
Desert Wind,40,-0.02261539320252336,-0.014471838176477014,0.0,0,40,0,0
Devilish Diablo,44,-0.27084645757161835,-0.19127994807169557,0.0,0,44,0,0
Disco Beat Down,517,-0.1946515888332399,-0.08305576692587024,0.0,0,516,1,0
Distant Desire,25,-0.021667487801964144,-0.02013473137596833,0.0,0,25,0,0
Distant Dream,58,-0.3323749460651529,-0.190021527360706,0.0,0,58,0,0
Distant Drift,85,-0.4362130332805369,-0.25420098362160104,0.0,0,85,0,0
Distress Signal,17,-0.023743437826624438,-0.018876310664969864,0.0,0,17,0,0
Divine Desire,58,-0.2877986469143687,-0.204493365537175,0.0,0,58,0,0
Divine Sunlight,10,-0.24174261858272583,-0.08368497728136859,0.0,0,10,0,0
Dragonflies' Embrace,23,-0.044777891733947375,-0.022651572797965258,0.0,0,23,0,0
Dragonflies' Lucent,39,-0.05524466921281443,-0.06292103554990547,0.0,0,39,0,0
Dragonflies' Nature,29,-0.0471560616083299,-0.025168414219962187,0.0,0,29,0,0
Drunkard,84,-0.1653231256954521,-0.09563997403585489,0.0,0,83,1,0
Eerie Kraken,61,-0.42549060925137544,-0.25168414219960766,0.0,0,61,0,0
Eerie Lightning,48,-0.04847279276175609,-0.031460517774951846,0.0,0,48,0,0
Eerie Orbiting Fire,200,-0.4425973937546146,-0.190021527360706,0.0,0,200,0,0
Eldritch Flame,7,-0.20098776498510976,-0.1761788995397211,0.0,0,7,0,0
Eldritch Horror,44,-0.02549159953892175,-0.021393152086966793,0.0,0,44,0,0
Eldritch Rift,75,-0.13040594354502325,-0.07802208408187994,0.0,0,75,0,0
Electric Hat Protector,6,-0.4678178993135103,-0.19505521020470518,0.0,0,6,0,0
Electrocution,40,-0.025119650417409444,-0.017617889953973176,0.0,0,40,0,0
Electrostatic,229,-0.17678200643992287,-0.09815681545784827,0.0,0,229,0,0
Electrum,30,-0.02275434382269602,-0.01635946924297471,0.0,0,30,0,0
Elemental,37,-0.030899330160586404,-0.022651572797965258,0.0,0,37,0,0
Emerald Allurement,51,-0.052488481106568945,-0.03271893848594942,0.0,0,51,0,0
Enchanted,53,-0.07232357520188679,-0.06040419412790499,0.0,0,53,0,0
Energetic Haunter,59,-0.2293098485413554,-0.08808944976986055,0.0,0,59,0,0
Ether Trail,7,-0.3225152507900607,-0.27685255641956985,0.0,0,7,0,0
Ethereal Essence,48,-0.2661559803760814,-0.1535273267417594,0.0,0,48,0,0
Eyes of Molten,54,-0.8272032930649625,-0.32467254343748664,0.0,0,54,0,0
Fairy Lights,27,-0.3915086656438376,-0.1887631066497022,0.0,0,27,0,0
Festive Falling Star,54,-0.12164733539647529,-0.06543787697189885,0.0,0,54,0,0
Festive Fever,32,-0.017212835787620145,-0.011231404845657433,0.0,0,32,0,0
Festive Lights,55,-0.22985626295793296,-0.1182915468338166,0.0,0,55,0,0
Festive Spirit,46,-0.05888588218311512,-0.03523577990794369,0.0,0,46,0,0
Festivized Formation,42,-0.01818417927392158,-0.015101048531977135,0.0,0,42,0,0
Fiesta Royale,25,-0.022047530856685444,-0.015101048531977135,0.0,0,25,0,0
Fifth Dimension,64,-0.3369421453697219,-0.25168414219960766,0.0,0,64,0,0
Fireflies,89,-0.11605042680355519,-0.07550524265987946,0.0,0,89,0,0
Flaming Lantern,193,-0.3635531693984963,-0.1635946924297471,0.0,0,193,0,0
Flammable Bubbles of Attraction,51,-0.04534015796978197,-0.035235779907944575,0.0,0,51,0,0
Flavorsome Sunset,9,-0.1653424989727961,-0.047819987017927446,0.0,0,9,0,0
Floppin' Frenzy,47,-0.01696592092604075,-0.012584207109980206,0.0,0,47,0,0
Flourishing Passion,6,-0.1338120689361245,-0.11074102256782936,0.0,0,6,0,0
Flurry Rush,22,-0.0745328266559286,-0.057887352705904505,0.0,0,22,0,0
Flying Lights,8,-0.05552781387278749,-0.04404472488493205,0.0,0,8,0,0
Forever and Forever!,45,-0.3770228450150031,-0.20638099660367004,0.0,0,45,0,0
Fossil Fueled,3,-0.009605944760618415,-0.008934787048086257,0.0,0,3,0,0
Fountain of Delight,91,-0.018304489825412714,-0.013842627820976894,0.0,0,91,0,0
Fragmented Gluons,34,11.05491190173356,-0.12080838825581353,0.0,1,33,0,0
Fragmented Photons,32,-0.2939985386069146,-0.2787401874860649,0.0,0,32,0,0
Fragmented Quarks,35,-0.28994013181394956,-0.1661115338517405,0.0,0,35,0,0
Fragmenting Reality,26,-0.15364832873320264,-0.06795471839389577,0.0,0,26,0,0
Fragrancium Elementalis,8,-0.1588756147635002,-0.07739287372637804,0.0,0,8,0,0
Frankencharged,38,-0.2312182474786337,-0.10822418114583243,0.0,0,38,0,0
Frantic Spooker,47,-0.1655090984049868,-0.10067365687984875,0.0,0,47,0,0
Frightened Poltergeist,35,-0.1272443113206303,-0.10067365687984875,0.0,0,35,0,0
Frisky Fireflies,7,-0.1078646323712655,-0.04026946275193666,0.0,0,7,0,0
Frisky Morning,45,-0.2805579062908305,-0.17366205811772772,0.0,0,45,0,0
Frostbite,289,-0.9497984746219094,-0.5033682843992437,0.0,0,289,0,0
Frosted Decadence,8,-0.13197687206591913,-0.03334814884144777,0.0,0,8,0,0
Frosted Star,48,-0.0335460879324484,-0.022022362442466026,0.0,0,48,0,0
Frostfire,22,-0.27930647680600557,-0.1761788995397211,0.0,0,20,2,0
Frosty Flavours,51,-0.24990754825466924,-0.13339259536579107,0.0,0,51,0,0
Frosty Silver,46,-0.07468453350053543,-0.04341551452943371,0.0,0,46,0,0
Frozen Fractals,59,-0.2732905859325029,-0.1761788995397211,0.0,0,59,0,0
Frozen Icefall,70,-0.6578484153935814,-0.4448517213378125,0.0,0,70,0,0
Fully Charged,63,-0.25587887790293207,-0.1510104853197589,0.0,0,63,0,0
Galactic Cloud,13,-0.10048005369353576,-0.04026946275193666,0.0,0,13,0,0
Galactic Codex,6,-1.0254031426782406,-0.17366205811772417,0.0,0,6,0,0
Galactic Connection,66,-0.13662254185735362,-0.09123550154735938,0.0,0,66,0,0
Galactic Dust,28,-0.06839067128306106,-0.02894367635295403,0.0,0,28,0,0
Galactic Flame,42,-0.5683567254028917,-0.3989193653863907,0.0,0,42,0,0
Galactic Gateway,39,-1.2453202287245442,-0.8557260834786575,0.0,0,39,0,0
Galvanic Defiance,41,-0.02658030087132428,-0.016988679598473055,0.0,0,41,0,0
Genus Plasmos,46,-0.3359709728644944,-0.12835891252180076,0.0,0,46,0,0
Ghastly Ghosts,46,-0.20282459024650834,-0.12458365038880714,0.0,0,46,0,0
Ghastly Ghosts Jr,162,-0.7889831776212881,-0.4505146145372976,0.0,0,162,0,0
Ghastly Grove,45,-0.17840210946248886,-0.12332522967781046,0.0,0,45,0,0
Ghosts of Smissmas Time,62,-0.2505069099215726,-0.13716785749878468,0.0,0,62,0,0
Glamorous Dazzle,36,-0.07634418980054732,-0.06292103554990547,0.0,0,36,0,0
Glamorous Glance,31,-0.0275147599327247,-0.021393152086966793,0.0,0,31,0,0
Glimmering Fireworks,7,-0.18426874696757167,-0.16107785100774663,0.0,0,7,0,0
Glittering Juniper,26,-0.15798020002682747,-0.12710049181080407,0.0,0,26,0,0
Global Clusters,55,-0.5117882629746086,-0.3146051777494989,0.0,0,55,0,0
Glowing Fireworks,8,-0.6137947017892609,-0.25042572148860387,0.0,0,8,0,0
Godlike,37,-0.04297846841763941,-0.027685255641953788,0.0,0,37,0,0
Golden Glimmer,48,-0.076317972702401,-0.05348288021741432,0.0,0,48,0,0
Golden Gusts,23,-0.030987242159727636,-0.018876310664969864,0.0,0,23,0,0
Goldstruck,34,-0.1808054462713341,-0.1340218057212894,0.0,0,34,0,0
Good-Hearted Goodies,49,-0.017172306294057756,-0.012395444003330702,0.0,0,49,0,0
Gourdian Angel,58,-0.09956977906317735,-0.05285366986191775,0.0,0,57,1,0
Grand Jubilee,21,-0.019127994807170322,-0.013213417465479438,0.0,0,21,0,0
Gravelly Ghoul,57,-0.21485877823566565,-0.1308757539437977,0.0,0,57,0,0
Green Black Hole,228,-1.045353029596456,-0.6040419412790357,0.0,0,228,0,0
Green Confetti,462,-0.09647719936144268,-0.03775262132993795,0.0,0,462,0,0
Green Energy,544,-0.3679238155579543,-0.16107785100774663,0.0,0,544,0,0
Green Giggler,51,-0.21578213956230954,-0.1635946924297471,0.0,0,51,0,0
Halcyon Halo,41,-0.3965559899047505,-0.2479088800666034,0.0,0,41,0,0
Hard Carry,79,-0.0832389547508886,-0.05285366986191775,0.0,0,79,0,0
Harvest Moon,173,-1.4210023354534786,-0.8683102905886244,0.0,0,173,0,0
Haunted Cremation,54,-0.0503356632355592,-0.036494200618941264,0.0,0,54,0,0
Haunted Forever!,41,-0.2754713629562763,-0.1761788995397211,0.0,0,41,0,0
Haunted Ghosts,522,-0.2431427924312799,-0.08808944976986055,0.0,0,522,0,0
Haunted Kraken,38,-0.19803568030969182,-0.1711452166957308,0.0,0,38,0,0
Haunted Mist,12,-0.04992259828921738,-0.011734773130056553,0.0,0,12,0,0
Haunted Phantasm,45,-0.13915336573169457,-0.07550524265987946,0.0,0,45,0,0
Haunted Phantasm Jr,161,,,,0,0,161,0
Haunted Wick,44,-0.2854040971602101,-0.1396846989207816,0.0,0,44,0,0
Haunting Haze,36,-0.54737805315328,-0.21393152086966438,0.0,0,36,0,0
Hazardous Gas,11,-0.053379918522881174,-0.025168414219962187,0.0,0,11,0,0
Head of Steam,45,-0.24066596975220417,-0.1535273267417665,0.0,0,45,0,0
Heavy Rain,100,-0.044709171020338584,-0.02296617797571443,0.0,0,100,0,0
Hellfire,173,-2.395218333626762,-1.2584207109979957,0.0,0,173,0,0
Hellish Inferno,45,-0.07620436527710288,-0.05537051128391113,0.0,0,45,0,0
Hellspawned Horns,49,-0.2980659341192468,-0.2013473137596833,0.0,0,49,0,0
Holiday Horns,32,-0.2598245511738723,-0.1887631066497093,0.0,0,32,0,0
Hollow Flourish,31,-0.02397088483368844,-0.019505521020469985,0.0,0,31,0,0
Holy Grail,95,-0.019363120782119953,-0.013213417465479438,0.0,0,95,0,0
Horsemann's Hack,59,-0.3154796734978231,-0.13842627820978493,0.0,0,59,0,0
Hospitable Festivity,33,-0.15570096251530371,-0.10067365687984875,0.0,0,33,0,0
Icestruck,43,-0.1842562045684571,-0.12584207109980383,0.0,0,43,0,0
Iconic Outline,13,-0.05699193796923847,-0.01635946924297471,0.0,0,13,0,0
Ignited Crest,25,-0.23396557858875283,-0.1510104853197589,0.0,0,25,0,0
Infernal Flames,46,-0.1847142747969275,-0.11074102256782581,0.0,0,46,0,0
Infernal Grip,35,-0.02352887180791768,-0.021393152086966793,0.0,0,35,0,0
Infernal Smoke,46,-0.14110726146365044,-0.10067365687984875,0.0,0,46,0,0
Infernal Wraith,40,-0.1744485710621025,-0.11703312612281636,0.0,0,40,0,0
Iridescence,9,-0.3650818307128729,-0.13842627820978493,0.0,0,9,0,0
It's a Mystery to Everyone,7,-0.22004385003736868,-0.21393152086966438,0.0,0,7,0,0
It's a Puzzle to Me,7,-0.21986407565008545,-0.25168414219960766,0.0,0,7,0,0
It's a Secret to Everybody,190,-1.5405238114834585,-1.0319049830183644,0.0,0,190,0,0
Jarate Shock,45,-0.03320273133706617,-0.025168414219962187,0.0,0,45,0,0
Jellyfish Field,46,-0.19557499267228068,-0.11577470541182322,0.0,0,46,0,0
Jellyfish Hunter,55,-0.15793179923025294,-0.09815681545784827,0.0,0,54,1,0
Jellyfish Jam,41,-0.18498784451671169,-0.11325786398982274,0.0,0,41,0,0
Kaleidoscope,11,-0.28566150139655005,-0.08431418763686693,0.0,0,11,0,0
Kill-a-Watt,496,-0.1048700840088561,-0.045303145595930516,0.0,0,496,0,0
Knifestorm,189,-2.51132160666745,-1.4849364389776838,0.0,0,189,0,0
Knight's Prideful Spirit,42,-0.28422330629826725,-0.1661115338517405,0.0,0,42,0,0
Laugh-O-Lantern,51,-0.24064211733349392,-0.12584207109980383,0.0,0,51,0,0
Lavender Landfall,52,-0.25758903938198213,-0.1648531131407438,0.0,0,52,0,0
Lavender Sensation,19,-0.04176632107133592,-0.025168414219962187,0.0,0,19,0,0
Legacy Logo,43,-0.035835724665513644,-0.025168414219962187,0.0,0,43,0,0
Limelight,6,-0.24581151221494313,-0.06166261483890523,0.0,0,6,0,0
Linguistic Deviation,31,-0.021799094251805023,-0.015101048531977135,0.0,0,31,0,0
Lost Signal,46,-0.07140990395474285,-0.04026946275193666,0.0,0,46,0,0
Lovable Confetti,16,-0.023906060944240637,-0.012584207109980206,0.0,0,16,0,0
Loyalist's Coronet,31,-0.23187416455550922,-0.17114521669574145,0.0,0,31,0,0
Lucidation,9,-0.21854573014331535,-0.08808944976986055,0.0,0,9,0,0
Lunar Lights,23,-0.1824162891507572,-0.08934787048085724,0.0,0,23,0,0
Lure of the Deep,37,-0.12784874196328513,-0.10193207759083833,0.0,0,37,0,0
Luxurious Lover,15,-0.04884470102545307,-0.023909993508963723,0.0,0,14,1,0
Magenta Monstrum,27,-0.14732843953573288,-0.11325786398982274,0.0,0,27,0,0
Magic Shuffle,48,-0.03296406835361234,-0.023909993508963723,0.0,0,48,0,0
Magical Spirit,54,-0.122556194798866,-0.07550524265987946,0.0,0,54,0,0
Magnetic Hat Protector,5,-0.657650663567571,-0.0704715598158927,0.0,0,5,0,0
Magnifying Momentum,36,-0.046640217601364595,-0.02894367635295403,0.0,0,36,0,0
Malevolent Monoculi,80,-0.20170910971409697,-0.1119994432788225,0.0,0,80,0,0
Marigold Ritual,58,-0.02985386167754733,-0.01856170548722158,0.0,0,58,0,0
Massed Flies,484,-0.10446321924818869,-0.03775262132993795,0.0,0,484,0,0
Mega Strike,74,-0.01491738713091192,-0.010287589312409029,0.0,0,74,0,0
Melting Mohawk,26,-0.2539105788421442,-0.14975206460876223,0.0,0,26,0,0
Memory Leak,224,-0.1564979311065565,-0.08808944976986055,0.0,0,224,0,0
Menacing Miasma,44,-0.19991729022445923,-0.13213417465479438,0.0,0,44,0,0
Miami Nights,509,-0.15327267579238357,-0.06795471839389577,0.0,0,509,0,0
Midnight Frostfall,17,-0.17480944170716797,-0.10067365687984875,0.0,0,17,0,0
Midnight Sparklers,53,-0.04363395736983165,-0.035235779907944575,0.0,0,53,0,0
Midnight Whirlwind,67,-0.012490295116622196,-0.009941523616884052,0.0,0,67,0,0
Mint Frost,28,-0.22548202525275426,-0.13213417465479438,0.0,0,28,0,0
Minty Cypress,21,-0.027178891117770092,-0.01824710030947152,0.0,0,21,0,0
Mirthful Mistletoe,58,-0.11672936939947652,-0.04844919737342579,0.0,0,58,0,0
Misty Skull,197,-1.1400018777801373,-0.7928050479287663,0.0,0,197,0,0
Molten Mallard,288,-0.2506398277901314,-0.14471838176477547,0.0,0,288,0,0
Monsoon Season,21,-0.027673270682805288,-0.017617889953973176,0.0,0,21,0,0
Morbidly Beast,13,-0.04166340569335059,-0.02013473137596833,0.0,0,13,0,0
Morning Glory,292,-0.6222804222685864,-0.3492117473019505,0.0,0,292,0,0
Moth Plague,73,-0.15906093014217587,-0.06543787697189885,0.0,0,73,0,0
Mountain Halo,78,-0.16895104725091586,-0.11640391576731801,0.0,0,78,0,0
Musical Maelstrom,49,-0.1356782982898511,-0.07298840123788963,0.0,0,49,0,0
Mysterious Mixture,55,-0.02670826356269113,-0.02013473137596833,0.0,0,55,0,0
Mystic Fusion,38,-0.027625646239857016,-0.02013473137596833,0.0,0,38,0,0
Mystical Medley,42,-0.29524946871843827,-0.23280783153463602,0.0,0,42,0,0
Natural Lights,21,-0.20176678733001543,-0.11325786398982274,0.0,0,21,0,0
Nebula,5,-8.288462170917333,-1.3087575394380337,0.0,0,5,0,0
Nether Trail,7,-0.43379559651975796,-0.3020209706395178,0.0,0,7,0,0
Nether Void,47,-0.024247357359145152,-0.018876310664969864,0.0,0,47,0,0
Nether Wisps,42,-0.019471064262906516,-0.013842627820976894,0.0,0,42,0,0
Neutron Star,207,-0.25978788523226404,-0.14849364389776554,0.0,0,207,0,0
Nightmarish Storm,52,-0.5146940707981945,-0.33348148841447056,0.0,0,52,0,0
North Star,51,-0.31902198769595247,-0.22651572797964548,0.0,0,51,0,0
Northern Nights,12,-0.04465296156191256,-0.01321341746547855,0.0,0,12,0,0
Nuts n' Bolts,460,-0.10036315524788982,-0.03271893848594942,0.0,0,460,0,0
Obnoxious Confetti,6,-0.031177373114976037,-0.022651572797965258,0.0,0,6,0,0
Ocean Reef,10,-0.02677290062648301,-0.012049378307805725,0.0,0,10,0,0
Ocean Swirl,38,-0.2753623213670668,-0.16862837527373742,0.0,0,38,0,0
Old Hire,51,-0.11568834320616243,-0.08305576692587024,0.0,0,51,0,0
Ominous Night,55,-0.10885339150133005,-0.07298840123788963,0.0,0,55,0,0
Ominous Stare,51,-0.5630322310500592,-0.3020209706395178,0.0,0,51,0,0
Omniscient Orb,65,-0.30861315913329207,-0.12080838825580997,0.0,0,65,0,0
Open Mind,37,-0.14781341648641674,-0.10319049830184213,0.0,0,37,0,0
Operatic Triumph,34,-0.039706874669373525,-0.02076394173146756,0.0,0,34,0,0
Orbiting Fire,493,-0.11875101078509169,-0.05033682843992082,0.0,0,493,0,0
Orbiting Planets,464,-0.10171239638913646,-0.03775262132993795,0.0,0,464,0,0
Otherworldly Weather,32,-0.6768730399280726,-0.3989193653863765,0.0,0,32,0,0
Overcharged,58,-0.3698021137629389,-0.16674074420723883,0.0,0,58,0,0
Overclocked,216,-0.11615256290727195,-0.07235919088238951,0.0,0,216,0,0
Overdrive,35,-0.21022816849158668,-0.1308757539437977,0.0,0,35,0,0
Pale Nimbus,30,-0.19102826392950392,-0.12584207109980383,0.0,0,30,0,0
Pastel Trance,75,-0.03638513749065616,-0.02076394173146756,0.0,0,75,0,0
Perennial Petals,9,-0.11745259969314878,-0.07676366337088325,0.0,0,9,0,0
Permafrost Essence,40,-0.02409875661561254,-0.01824710030947152,0.0,0,40,0,0
