item_name,unusuals,average_change,median_change,average_listing_change,increases,decreases,new,removed
Brown Bomber,66,-1.2915903921986944,-0.3208972813045037,0.0,0,66,0,0
Bruce's Bonnet,31,-0.36901089982165836,-0.14849364389776198,0.0,0,30,1,0
Bubble Pipe,54,-0.3328230168551737,-0.12206680896681377,0.0,0,54,0,0
Buccaneer's Bicorne,62,-0.5224715233891103,-0.18372942380571544,0.0,0,61,1,0
Buck's Brim,24,-0.16170706136324942,-0.13842627820978137,0.0,0,24,0,0
Buckaroo's Hat,61,-0.3118051916675367,-0.07298840123788608,0.0,0,60,1,0
Bulb Bonnet,46,-0.06978763551643437,-0.05033682843992082,0.0,0,46,0,0
Bullet Buzz,41,-0.1231207363122691,-0.07172998052688762,0.0,0,40,1,0
Bumble Beenie,79,-0.24381503041184313,-0.16107785100774663,0.0,0,79,0,0
Bunsen Brave,54,-0.23848214412142182,-0.08808944976986055,0.0,0,53,1,0
Burning Bandana,49,-0.5483118812205897,-0.10067365687984875,0.0,0,49,0,0
Burning Beanie,101,-0.15391357468275957,-0.13339259536579107,0.0,0,101,0,0
Burning Question,106,-0.3281272644459848,-0.23154941082363933,0.0,0,106,0,0
Buzz Kill,7,-0.2139315208696664,-0.24413361793361332,0.0,0,7,0,0
Cadaver's Cranium,42,-0.09232510972395502,-0.035235779907944575,0.0,0,41,1,0
Calamitous Cauldron,70,-0.06977043970547651,-0.05033682843992082,0.0,0,70,0,0
California Cap,73,-0.14275317681883135,-0.10067365687984875,0.0,0,73,0,0
Candy Crown,15,-0.6125992021138434,-0.5033682843992437,0.0,0,15,0,0
Capo's Capper,58,-0.23638439566063046,-0.0931231326138473,0.0,0,57,1,0
Captain Cardbeard Cutthroat,12,-1.42358842931651,-1.3590943678778729,0.0,0,12,0,0
Captain Space Mann,9,-5.982392235561134,-2.3280783153463744,0.0,0,9,0,0
Caribbean Conqueror,54,-0.36071561210344066,-0.10319049830184213,0.0,0,53,1,0
Caribou Companion,101,-0.26906529954457703,-0.1510104853197589,0.0,0,101,0,0
Carouser's Capotain,60,-0.33271594914861613,-0.08557260834786717,0.0,0,60,0,0
Cat's Pajamas,65,-1.0637333468473091,-0.7550524265988088,0.0,0,65,0,0
Cattleman's Kettle,14,-0.04004474476783049,-0.02957288670845326,0.0,0,14,0,0
Charmer's Chapeau,58,-0.953733054741636,-0.2101562587366672,0.0,0,58,0,0
Checkered Past,27,-0.11516879914356108,-0.0931231326138473,0.0,0,27,0,0
Chieftain's Challenge,59,-0.9270438227381447,-0.14849364389776554,0.0,0,58,1,0
Chill Chullo,128,-0.40983888998101825,-0.20889783802567763,0.0,0,127,1,0
Chill-Seeker,5,-0.06417945626089931,-0.057887352705904505,0.0,0,5,0,0
Cigarillo Caballero,3,-0.10906312828649807,-0.09563997403585489,0.0,0,3,0,0
Citizen Cane,74,-0.13725288592520402,-0.08934787048086257,0.0,0,74,0,0
Class Crown,10,-1.3215934306900863,-0.8179734621487,0.0,0,10,0,0
Classy Capper,122,-0.3577731341062824,-0.19631363091569654,0.0,0,122,0,0
Cleaner's Cap,38,-0.12839202885629872,-0.07550524265987946,0.0,0,38,0,0
Climbing Commander,72,-0.1598194302967488,-0.10822418114582888,0.0,0,72,0,0
Close Quarters Cover,43,-0.2983920364961845,-0.1887631066497022,0.0,0,43,0,0
Cloud Crasher,50,-0.4601197032294015,-0.10067365687984875,0.0,0,49,1,0
Clue Hairdo,42,-0.20221622329822955,-0.14220154034277144,0.0,0,42,0,0
Co-Pilot,22,-1.1869767351781604,-0.8670518698776561,0.0,0,22,0,0
Coffin Kit,14,-10.141432735545866,-9.7502436688128,0.0,0,14,0,0
Cold Killer,56,-0.7048528804182747,-0.18247100309470454,0.0,0,55,1,0
Coldfront Commander,94,-0.302489531542557,-0.271818873575576,0.0,0,94,0,0
Coldfront Curbstompers,2,-5.033682843992324,-5.033682843992324,0.0,0,2,0,0
Coldsnap Cap,40,-0.20502819433935132,-0.10822418114582888,0.0,0,40,0,0
Colonel Kringle,23,-0.3711793958004661,-0.2013473137596833,0.0,0,23,0,0
Combustible Kabuto,40,-0.14962299581789296,-0.08305576692587024,0.0,0,39,1,0
Commando Elite,74,-0.11766233647831544,-0.06040419412790499,0.0,0,73,1,0
Commonwealth Commander,9,-0.25420098362160576,-0.1887631066497022,0.0,0,9,0,0
Commonwealth Commando,49,-0.10396095996163297,-0.07550524265987946,0.0,0,49,0,0
Company Man,61,-0.6167911871708014,-0.23406625224563982,0.0,0,61,0,0
Conagher's Combover,21,-0.31286735867241655,-0.0931231326138473,0.0,0,21,0,0
Condor Cap,39,-0.19763658602212403,-0.08053892550387332,0.0,0,39,0,0
Conjurer's Cowl,59,-1.0256562732810062,-0.34291964374696704,0.0,0,58,1,0
Connoisseur's Cap,59,-0.27901746662577503,-0.11325786398982274,0.0,0,59,0,0
Conquistador,62,-0.2926946207101703,-0.09815681545784827,0.0,0,61,1,0
Control Patrol,8,-0.15950482511900077,-0.17617889953972465,0.0,0,8,0,0
Convict Cap,87,-0.0577427066471745,-0.04026946275193666,0.0,0,87,0,0
Cool Capuchon,57,-0.12251939887164277,-0.06921313910489246,0.0,0,57,0,0
Copper's Hard Top,60,-0.3299835054211905,-0.07298840123788963,0.0,0,59,1,0
Corona Australis,10,-4.005804807248978,-4.341551452943236,0.0,0,10,0,0
Cosa Nostra Cap,63,-0.6314227402973768,-0.2057517862481717,0.0,0,62,1,0
Cotton Head,55,-1.0482644522613507,-0.22651572797964548,0.0,0,55,0,0
Counterfeit Billycock,63,-0.21857608937405903,-0.07550524265987946,0.0,0,62,1,0
Coupe D'isaster,54,-0.13977791526974434,-0.05411209057291444,0.0,0,54,0,0
Covert Covers,41,-0.08188942577909165,-0.05033682843992082,0.0,0,41,0,0
Cozy Catchers,47,-0.06123421629898935,-0.04026946275193666,0.0,0,47,0,0
Crabe de Chapeau,72,-0.07479738100994632,-0.059145773416904746,0.0,0,72,0,0
Crack Pot,68,-0.08466580518847114,-0.06166261483890523,0.0,0,68,0,0
Cranial Carcharodon,67,-0.2920099521475583,-0.1887631066497022,0.0,0,67,0,0
Cranial Cowl,31,-1.3824360423560589,-0.8808944976985913,0.0,0,31,0,0
Cranium Cooler,7,-0.26193128227487456,-0.25168414219960766,0.0,0,7,0,0
Cranium Cover,10,-0.10621070800823454,-0.09941523616884851,0.0,0,10,0,0
Crimbo Cap,48,-0.04730875360408284,-0.03334814884144777,0.0,0,48,0,0
Crit Cloak,56,-0.3095040795102853,-0.19379678949369605,0.0,0,56,0,0
Crocleather Slouch,59,-0.5024570142291815,-0.11640391576731446,0.0,0,58,1,0
Crone's Dome,61,-3.037875468504249,-1.0067365687984307,0.0,0,61,0,0
Crook's Cap,19,-0.07431305461788418,-0.057887352705904505,0.0,0,19,0,0
Crown of the Old Kingdom,37,-0.8481415478421015,-0.15604416816375988,0.0,0,37,0,0
Crustaceous Cowl,37,-0.2267538075736207,-0.1635946924297471,0.0,0,37,0,0
Cyborg Stunt Helmet,48,-0.22571248071730377,-0.04026946275193666,0.0,0,47,1,0
Dancing Doe,67,-0.13929026854867932,-0.10067365687984875,0.0,0,67,0,0
Danger,46,-0.46265138317224797,-0.19631363091569654,0.0,0,45,1,0
Dapper Dickens,22,-0.4785430758277042,-0.298245708506542,0.0,0,22,0,0
Dapper Noel,41,-0.09353211934492948,-0.0711007701713875,0.0,0,40,1,0
Daring Dell,22,-0.06618148921021434,-0.047819987017927446,0.0,0,22,0,0
Dark Falkirk Helm,48,-0.526234056467141,-0.10193207759083833,0.0,0,47,1,0
Das Gutenkutteharen,46,-0.46446667024618227,-0.20260573447067998,0.0,0,46,0,0
Das Hazmattenhatten,41,-1.1496302405322332,-0.5285366986191917,0.0,0,40,1,0
Das Maddendoktor,54,-0.4024571896493621,-0.2239988865576521,0.0,0,53,1,0
Das Naggenvatcher,49,-0.5244206142102809,-0.1308757539437977,0.0,0,48,1,0
Das Übersternmann,54,-1.0463069089331165,-0.25860545611009655,0.0,0,54,0,0
Data Mining Light,54,-0.45079085024666044,-0.11325786398982629,0.0,0,54,0,0
Dayjogger,68,-0.22993937256103666,-0.19379678949369605,0.0,0,68,0,0
Dead Cone,59,-0.208183311011802,-0.06795471839389577,0.0,0,59,0,0
Death Racer's Helmet,31,-0.42656402681184363,-0.35990832334542233,0.0,0,31,0,0
Decorated Veteran,26,-1.3665480905506864,-1.0822418114582888,0.0,0,26,0,0
Deep Cover Operator,45,-0.24416221840432248,-0.09941523616884851,0.0,0,44,1,0
Defiant Spartan,65,-0.45409324843418997,-0.1541565370972613,0.0,0,64,1,0
Defragmenting Hard Hat 17%,42,-0.28653041093509785,-0.18247100309471165,0.0,0,42,0,0
Dell Dynamic,34,-0.05344586784356336,-0.0415278834629369,0.0,0,34,0,0
Demoman's Fro,29,-0.44888734637651495,-0.0931231326138473,0.0,0,29,0,0
Demonic Dome,10,-2.5535873067572252,-1.887631066497022,0.0,0,10,0,0
Desert Marauder,58,-0.5661482900418456,-0.22777414869064216,0.0,0,58,0,0
Detective,54,-0.1651327621876321,-0.10067365687984875,0.0,0,54,0,0
Doctor's Sack,61,-0.2992988523179753,-0.08683102905886564,0.0,0,60,1,0
Dr's Dapper Topper,58,-1.0325341933738712,-0.22903256940163885,0.0,0,58,0,0
Dragonborn Helmet,61,-0.47471823954548237,-0.190021527360706,0.0,0,60,1,0
Dread Hiding Hood,39,-0.41137450370548306,-0.14345996105377878,0.0,0,39,0,0
Dread Knot,59,-0.1659092789057397,-0.05033682843992082,0.0,0,58,1,0
Duality of Mantle,19,-0.7191543200008749,-0.586424051325082,0.0,0,19,0,0
Duck Billed Hatypus,35,-1.3033537328554308,-0.6166261483890167,0.0,0,34,1,0
Dumb Bell,20,-0.22525730726864523,-0.14094311963178185,0.0,0,20,0,0
Dustbowl Devil,59,-0.1549777099340978,-0.09689839474684447,0.0,0,59,0,0
Détective Noir,60,-0.606622770194827,-0.12080838825580997,0.0,0,59,1,0
El Fiestibrero,42,-0.11160993210637402,-0.08368497728136859,0.0,0,42,0,0
El Jefe,54,-0.6583674247176676,-0.22903256940163885,0.0,0,53,1,0
El Mostacho,117,-0.10929975440309454,-0.07550524265987946,0.0,0,117,0,0
El Zapateador,42,-0.10256128794633892,-0.06795471839389577,0.0,0,42,0,0
Electric Escorter,55,-0.20043845435729765,-0.053482880217416096,0.0,0,54,1,0
Elf Care Provider,78,-0.07805435127959638,-0.05159524915091929,0.0,0,78,0,0
Elf Defense,40,-0.047064934591326435,-0.028314465997454796,0.0,0,40,0,0
Elf Esteem,120,-0.08607597663226486,-0.035235779907944575,0.0,0,120,0,0
Elf Ignition,27,-0.07914068026943248,-0.04278630417393714,0.0,0,27,0,0
Eliminator's Safeguard,41,-0.3899876476570947,-0.12584207109980383,0.0,0,41,0,0
Employee of the Mmmph,43,-0.14489815615205964,-0.06292103554990192,0.0,0,42,1,0
Engineer's Cap,63,-0.36437232293841715,-0.1050781293683336,0.0,0,62,1,0
Epilogue Locks,19,-0.05106538779892106,-0.031460517774952734,0.0,0,19,0,0
Executioner,62,-0.7345577750799785,-0.24161677651162705,0.0,0,62,0,0
Exquisite Rack,57,-3.6891817408505787,-1.8876310664970788,0.0,0,57,0,0
FR-0,55,-0.34125340150924893,-0.05411209057291444,0.0,0,54,1,0
Familiar Fez,60,-0.5707986608301839,-0.10885339150133078,0.0,0,60,0,0
Fancy Fedora,30,-0.5639402679552543,-0.1761788995397211,0.0,0,30,0,0
Fat Man's Field Cap,90,-0.12834477296324887,-0.08179734621487356,0.0,0,89,1,0
Feathered Fiend,54,-0.3864050705381137,-0.1510104853197589,0.0,0,54,0,0
Feathered Foe,18,-0.1508007485345947,-0.13716785749878468,0.0,0,18,0,0
Fed-Fightin' Fedora,60,-0.6393753925676945,-0.1661115338517405,0.0,0,60,0,0
Federal Casemaker,51,-0.462827397572351,-0.16736995456273718,0.0,0,51,0,0
Festive Cover-Up,38,-0.04127951095418554,-0.025168414219962187,0.0,0,38,0,0
Festive Rack,10,-0.8922202840975914,-0.6040419412790499,0.0,0,10,0,0
Field Practice,172,-0.3015893030700577,-0.1887631066497022,0.0,0,172,0,0
Fire Fighter,70,-0.11435448775226385,-0.0862018187033673,0.0,0,70,0,0
Fire Marshal,6,-0.17450100525839396,-0.17366205811772062,0.0,0,6,0,0
Firearm Protector,53,-0.08419546870186909,-0.047819987017927446,0.0,0,53,0,0
Firestalker,67,-0.08386341006874985,-0.0591457734169083,0.0,0,67,0,0
Firewall Helmet,53,-0.2968923126475345,-0.07802208408187994,0.0,0,53,0,0
Flamboyant Flamenco,60,-1.1229726951375956,-0.23280783153463602,0.0,0,60,0,0
Flame Warrior,20,-0.31347259910960845,-0.1774373202507249,0.0,0,20,0,0
Flamehawk,22,-0.20987025402962817,-0.1459768024757615,0.0,0,22,0,0
Flash of Inspiration,18,-0.5263694185057912,-0.35864990263444696,0.0,0,18,0,0
Flatline Flatcap,4,-0.12080838825580997,-0.08431418763687049,0.0,0,4,0,0
Fleet Commander,52,-0.18576225726194162,-0.11199944327882605,0.0,0,52,0,0
Flipped Trilby,62,-0.9615247601895781,-0.18121258238370785,0.0,0,62,0,0
Football Helmet,31,-0.137079742013691,-0.05033682843992082,0.0,0,31,0,0
Fortunate Son,47,-0.4722558404379406,-0.20386415518167667,0.0,0,47,0,0
Frag Proof Fragger,67,-0.5258883804064716,-0.3020209706395178,0.0,0,67,0,0
Frenchman's Beret,57,-0.2716643306812419,-0.12080838825580997,0.0,0,57,0,0
Frickin' Sweet Ninja Hood,48,-0.29928992994757825,-0.1308757539437977,0.0,0,47,1,0
Fried Batter,58,-0.06634914714193096,-0.04530314559593229,0.0,0,58,0,0
Frigid Fashion,38,-0.09706397641934872,-0.0704715598158927,0.0,0,38,0,0
Front Runner,66,-0.5928323167918536,-0.24161677651163416,0.0,0,65,1,0
Frontier Djustice,43,-0.32484813702507387,-0.13842627820978493,0.0,0,43,0,0
Frostbite Bonnet,38,-0.07580328967038143,-0.05033682843992082,0.0,0,38,0,0
Fruit Shoot,59,-0.4885601441361758,-0.13779706785428658,0.0,0,58,1,0
Full Metal Drill Hat,57,-0.30731873629090106,-0.09312313261385441,0.0,0,56,1,0
Full Metal Helmet,8,-0.9070067274518223,-0.6455698247419832,0.0,0,8,0,0
Fur-Lined Fighter,18,-0.07071625273191752,-0.03964025239644009,0.0,0,18,0,0
Furious Fukaamigasa,59,-0.39962322781794346,-0.09060629119186103,0.0,0,59,0,0
Fused Plates,5,-0.5448961678621516,-0.3901104204093997,0.0,0,5,0,0
Galvanized Gibus,61,-0.8303307409337611,-0.19253836878270647,0.0,0,61,0,0
Gauzed Gaze,113,-1.1358370506677662,-0.8808944976985913,0.0,0,112,1,0
Geisha Boy,61,-0.30994927824572077,-0.13213417465478727,0.0,0,61,0,0
Gentleman's Gatsby,63,-0.5621385613136402,-0.09626918439134968,0.0,0,62,1,0
Gentleman's Ushanka,63,-0.42199041175466706,-0.1283589125218043,0.0,0,63,0,0
German Gonzila,58,-0.3094521619070598,-0.08179734621487178,0.0,0,58,0,0
Giftcrafter,44,-0.09521096697528413,-0.056628931994907816,0.0,0,44,0,0
Gilded Guard,43,-0.2041038543647257,-0.07550524265987946,0.0,0,42,1,0
Glasgow Great Helm,50,-0.3890574561409992,-0.13842627820978493,0.0,0,49,1,0
Glengarry Bonnet,60,-0.3996336626351774,-0.12584207109980383,0.0,0,59,1,0
Globetrotter,49,-0.0959481586997685,-0.0704715598158927,0.0,0,49,0,0
Glow from Below,42,-0.09262875304881961,-0.05411209057291444,0.0,0,42,0,0
Gnome Dome,48,-0.1874260346442672,-0.135909436787788,0.0,0,48,0,0
Greased Lightning,54,-0.5079358854983851,-0.19253836878269937,0.0,0,54,0,0
Grenadier's Softcap,60,-0.5476290821873446,-0.1308757539437977,0.0,0,59,1,0
Gridiron Guardian,54,-0.1955657016251924,-0.045303145595930516,0.0,0,53,1,0
Grimm Hatte,55,-0.608775310740838,-0.22651572797964548,0.0,0,55,0,0
Ground Control,46,-0.20140324356905911,-0.12584207109980383,0.0,0,45,1,0
Gym Rat,57,-0.23993888223029236,-0.057887352705904505,0.0,0,57,0,0
Halogen Head Lamp,56,-0.3686486271927299,-0.07802208408187994,0.0,0,55,1,0
Handyman's Handle,61,-0.19857786017682386,-0.07802208408187639,0.0,0,60,1,0
Hard Counter,62,-0.2846196940866297,-0.06543787697189885,0.0,0,61,1,0
Harmburg,50,-0.47534916203801064,-0.1283589125218043,0.0,0,49,1,0
Hat Chocolate,13,-0.28953356512269746,-0.23406625224563982,0.0,0,13,0,0
Hat Outta Hell,107,-0.280839515494598,-0.1761788995397211,0.0,0,107,0,0
Hat of Cards,57,-0.6644686072053657,-0.22085283478015327,0.0,0,56,1,0
Hat with No Name,59,-0.9183698398888577,-0.3523577990794422,0.0,0,59,0,0
Hawaiian Hunter,92,-0.13080052227085642,-0.09123550154735938,0.0,0,92,0,0
Hawk Warrior,31,-0.15003622412415363,-0.10319049830184213,0.0,0,31,0,0
HazMat Headcase,21,-1.984109987673551,-1.4471838176476695,0.0,0,21,0,0
Hazard Handler,33,-0.11081729048970536,-0.11074102256782226,0.0,0,33,0,0
Hazard Headgear,49,-0.1063750731623239,-0.06292103554990547,0.0,0,49,0,0
Head Banger,31,-0.16509667843964684,-0.09563997403585489,0.0,0,31,0,0
Head Hedge,133,-0.11452574651067852,-0.09563997403585489,0.0,0,133,0,0
Head Prize,75,-2.642532482610513,-2.3154941082364076,0.0,0,75,0,0
Head Warmer,63,-0.6173910266357319,-0.25168414219960766,0.0,0,63,0,0
Head of Defense,76,-0.0757039406668815,-0.06292103554990547,0.0,0,76,0,0
Headhunter's Brim,71,-0.19489569208639915,-0.12584207109980383,0.0,0,71,0,0
Heat Shield,10,-0.09274560640055292,-0.04530314559592874,0.0,0,10,0,0
Heavy Duty Rag,56,-0.4868727424493491,-0.09186471190285772,0.0,0,56,0,0
Heer's Helmet,39,-0.21215682499518324,-0.1182915468338166,0.0,0,39,0,0
Hellish Overlord,39,-0.6573473519090217,-0.436671986716334,0.0,0,39,0,0
Hellmet,70,-0.3695622079426668,-0.24035835580063036,0.0,0,70,0,0
Helm Helm,12,-0.1556246945934229,-0.1359094367877809,0.0,0,12,0,0
Helmet without a Home,61,-0.3229575403682883,-0.06795471839389577,0.0,0,61,0,0
Hephaistos' Handcraft,96,-0.10147327837328961,-0.07110077017139105,0.0,0,96,0,0
Herald's Helm,94,-0.5944481747833756,-0.4505146145372976,0.0,0,93,1,0
Hermes,63,-0.4018908463355607,-0.13842627820978493,0.0,0,63,0,0
Hetman's Headpiece,65,-0.22729240951221485,-0.06292103554990192,0.0,0,64,1,0
Highway Star,71,-0.08598912787897174,-0.06795471839389577,0.0,0,71,0,0
Hive Minder,54,-0.2345292560921329,-0.11074102256782226,0.0,0,53,1,0
Hollowed Helm,60,-0.14411014508779135,-0.09186471190285772,0.0,0,60,0,0
Honcho's Headgear,59,-0.7146527823940171,-0.19002152736069888,0.0,0,58,1,0
Hong Kong Cone,55,-2.2377516732013767,-0.6657045561179871,0.0,0,54,1,0
Horrific Headsplitter,51,-0.783749353792761,-0.2239988865576521,0.0,0,51,0,0
Horror Shawl,61,-0.14498656978515093,-0.08808944976986055,0.0,0,61,0,0
Hot Dogger,62,-0.2978537413998276,-0.1057073397238355,0.0,0,61,1,0
Hot Spaniel,43,-0.0735883459954547,-0.05285366986191775,0.0,0,43,0,0
Hotrod,60,-0.1951831851922531,-0.07550524265987946,0.0,0,59,1,0
