source_value,source_value_high,source_currency,source_last_update,effect_id,effect_name,item_name,bp_price_ref,bp_price_keys,bp_price_all,slot,summary,defindex,scrape_timestamp
13,13,keys,1785619190,6,Green Confetti,Dancing Doe,839.215,13 keys,839.22 ref,misc,Level 1-100 Bandana,31045,2026-09-11T04:38:28+00:00
29,29,keys,1670093693,6,Green Confetti,Danger,1872.095,29 keys,"1,872.10 ref",misc,Level 1-100 Apparel,30420,2026-09-11T04:38:28+00:00
13,16,keys,1749727304,6,Green Confetti,Dapper Noel,839.215,13–16 keys,839.22 ref,misc,Level 1-100 Hat,31494,2026-09-11T04:38:28+00:00
13,13,keys,1625422733,6,Green Confetti,Dark Falkirk Helm,839.215,13 keys,839.22 ref,misc,Level 1-100 Helmet,30357,2026-09-11T04:38:28+00:00
105,160,keys,1723816327,6,Green Confetti,Das Hazmattenhatten,6778.275,105–160 keys,"6,778.28 ref",misc,Level 1-100 Safety Apparatus,30095,2026-09-11T04:38:28+00:00
21,25,keys,1759253309,6,Green Confetti,Das Maddendoktor,1355.655,21–25 keys,"1,355.66 ref",misc,Level 1-100 Hair,30121,2026-09-11T04:38:28+00:00
14,18,keys,1701110017,6,Green Confetti,Das Naggenvatcher,903.77,14–18 keys,903.77 ref,misc,Level 1-100 Hat,30109,2026-09-11T04:38:28+00:00
18,18,keys,1598440533,6,Green Confetti,Das Übersternmann,1161.99,18 keys,"1,161.99 ref",misc,Level 1-100 Hat,30097,2026-09-11T04:38:28+00:00
11,11,keys,1750993991,6,Green Confetti,Data Mining Light,710.105,11 keys,710.11 ref,misc,Level 1-100 Helmet,30051,2026-09-11T04:38:28+00:00
16,16,keys,1505250443,6,Green Confetti,Dayjogger,1032.88,16 keys,"1,032.88 ref",misc,Level 1-100 Hat,30779,2026-09-11T04:38:28+00:00
8.5,8.5,keys,1594554999,6,Green Confetti,Dead Cone,548.7175,8.5 keys,548.72 ref,misc,Level 1-100 Hat,435,2026-09-11T04:38:28+00:00
13,16,keys,1761466063,6,Green Confetti,Deep Cover Operator,839.215,13–16 keys,839.22 ref,misc,Level 1-100 Hat,30375,2026-09-11T04:38:28+00:00
11,13,keys,1555350465,6,Green Confetti,Defiant Spartan,710.105,11–13 keys,710.11 ref,misc,Level 1-100 Helmet,340,2026-09-11T04:38:28+00:00
10,10,keys,1708444327,6,Green Confetti,Dell Dynamic,645.55,10 keys,645.55 ref,misc,Level 1-100 Helmet,31394,2026-09-11T04:38:28+00:00
30,30,keys,1784554195,6,Green Confetti,Demoman's Fro,1936.65,30 keys,"1,936.65 ref",misc,Level 1-100 Hair,47,2026-09-11T04:38:28+00:00
10,11,keys,1593654814,6,Green Confetti,Desert Marauder,645.55,10–11 keys,645.55 ref,misc,Level 1-100 Hat,400,2026-09-11T04:38:28+00:00
10,10,keys,1531027025,6,Green Confetti,Doctor's Sack,645.55,10 keys,645.55 ref,misc,Level 1-100 Hat,398,2026-09-11T04:38:28+00:00
23,25,keys,1604133113,6,Green Confetti,Dr's Dapper Topper,1484.765,23–25 keys,"1,484.77 ref",misc,Level 1-100 Hat,252,2026-09-11T04:38:28+00:00
13,13,keys,1647176386,6,Green Confetti,Dragonborn Helmet,839.215,13 keys,839.22 ref,misc,Level 10 Helmet,517,2026-09-11T04:38:28+00:00
17,17,keys,1596549073,6,Green Confetti,Dread Hiding Hood,1097.435,17 keys,"1,097.44 ref",misc,Level 1-100 Hood,1095,2026-09-11T04:38:28+00:00
8,8,keys,1556552225,6,Green Confetti,Dread Knot,516.44,8 keys,516.44 ref,misc,Level 1-100 Hair,358,2026-09-11T04:38:28+00:00
150,150,keys,1669536508,6,Green Confetti,Duck Billed Hatypus,9683.25,150 keys,"9,683.25 ref",misc,Level 1-100 Hat,30700,2026-09-11T04:38:28+00:00
12,13,keys,1724887754,6,Green Confetti,Détective Noir,774.66,12–13 keys,774.66 ref,misc,Level 1-100 Hat,319,2026-09-11T04:38:28+00:00
17,18,keys,1768152336,6,Green Confetti,El Fiestibrero,1097.435,17–18 keys,"1,097.44 ref",misc,Level 1-100 Hat,31241,2026-09-11T04:38:28+00:00
17,17,keys,1499524510,6,Green Confetti,El Jefe,1097.435,17 keys,"1,097.44 ref",misc,Level 10 Hat,539,2026-09-11T04:38:28+00:00
10,11,keys,1697492841,6,Green Confetti,El Mostacho,645.55,10–11 keys,645.55 ref,misc,Level 1-100 Hat,31074,2026-09-11T04:38:28+00:00
16,16,keys,1714206385,6,Green Confetti,El Zapateador,1032.88,16 keys,"1,032.88 ref",misc,Level 1-100 Hat,31069,2026-09-11T04:38:28+00:00
6,7,keys,1599287793,6,Green Confetti,Electric Escorter,387.33,6–7 keys,387.33 ref,misc,Level 1-100 Hat,30025,2026-09-11T04:38:28+00:00
8.5,9,keys,1636307444,6,Green Confetti,Elf Care Provider,548.7175,8.5–9 keys,548.72 ref,misc,Level 1-100 Hat,31176,2026-09-11T04:38:28+00:00
8,8,keys,1552182747,6,Green Confetti,Elf Esteem,516.44,8 keys,516.44 ref,misc,Level 1-100 Hat,30836,2026-09-11T04:38:28+00:00
10,10,keys,1537618734,6,Green Confetti,Employee of the Mmmph,645.55,10 keys,645.55 ref,misc,Level 1-100 Hat,30416,2026-09-11T04:38:28+00:00
9,11,keys,1593652700,6,Green Confetti,Engineer's Cap,580.995,9–11 keys,581.00 ref,misc,Level 1-100 Hat,95,2026-09-11T04:38:28+00:00
16,16,keys,1685702839,6,Green Confetti,Executioner,1032.88,16 keys,"1,032.88 ref",misc,Level 1-100 Hat,921,2026-09-11T04:38:28+00:00
400,400,keys,1771459663,6,Green Confetti,Exquisite Rack,25822.0,400 keys,"25,822.00 ref",misc,Level 1-100 Cosmetic Item,339,2026-09-11T04:38:28+00:00
12,12,keys,1775146765,6,Green Confetti,FR-0,774.66,12 keys,774.66 ref,misc,Level 1-100 Hat,30016,2026-09-11T04:38:28+00:00
17,17,keys,1777994842,6,Green Confetti,Familiar Fez,1097.435,17 keys,"1,097.44 ref",misc,Level 1-100 Hat,223,2026-09-11T04:38:28+00:00
25,25,keys,1695124327,6,Green Confetti,Fancy Fedora,1613.875,25 keys,"1,613.88 ref",misc,Level 1-100 Hat,55,2026-09-11T04:38:28+00:00
6,6,keys,1594469836,6,Green Confetti,Fat Man's Field Cap,387.33,6 keys,387.33 ref,misc,Level 1-100 Hat,30911,2026-09-11T04:38:28+00:00
14,14,keys,1636884667,6,Green Confetti,Feathered Fiend,903.77,14 keys,903.77 ref,misc,Level 1-100 Headgear,30903,2026-09-11T04:38:28+00:00
9.5,9.5,keys,1767032837,6,Green Confetti,Feathered Foe,613.2725,9.5 keys,613.27 ref,misc,Level 1-100 Hat,31559,2026-09-11T04:38:28+00:00
16,16,keys,1705520662,6,Green Confetti,Fed-Fightin' Fedora,1032.88,16 keys,"1,032.88 ref",misc,Level 1-100 Hat,780,2026-09-11T04:38:28+00:00
25,28,keys,1670599068,6,Green Confetti,Federal Casemaker,1613.875,25–28 keys,"1,613.88 ref",misc,Level 1-100 Hat,30119,2026-09-11T04:38:28+00:00
15,15,keys,1786606302,6,Green Confetti,Field Practice,968.325,15 keys,968.33 ref,misc,Level 1-100 Headgear,30862,2026-09-11T04:38:28+00:00
14,14,keys,1742473172,6,Green Confetti,Fire Fighter,903.77,14 keys,903.77 ref,misc,Level 1-100 Hair,31108,2026-09-11T04:38:28+00:00
9.5,9.5,keys,1724183859,6,Green Confetti,Firearm Protector,613.2725,9.5 keys,613.27 ref,misc,Level 1-100 Hat,31310,2026-09-11T04:38:28+00:00
9,9,keys,1712778261,6,Green Confetti,Firestalker,580.995,9 keys,581.00 ref,misc,Level 1-100 Hat,31359,2026-09-11T04:38:28+00:00
